pi_id,inst_id
558546,115
565318,104
506872,152
254934,331
465435,1730
33380,94
431172,93
555560,10390
502215,13
371338,110
427334,5
508790,70
529904,137
503401,26
556536,9036
557449,3725
173452,692
179703,128
553591,86
321867,6678
551113,24
517487,187
524430,35
483390,47
542107,92
389935,5298
144665,184
275099,251
118485,71
560612,10
517188,35
485828,26
518277,134
284701,36
555292,3189
550684,65
384455,144
554449,633
506513,63
235075,4047
402073,3054
276701,19
426517,6
549399,137
486819,1184
291415,5
318748,625
550436,166
364501,131
536602,6636
533534,36
284888,10
522995,411
420327,305
93200,126
547675,213
501350,131
351256,4
419929,4977
529906,16
512143,281
486559,29
14722,77
518474,50
359600,327
388363,52
541851,124
50782,88
486496,821
551747,68
293154,137
486470,20
531548,94
529389,9681
184165,111
498499,66
518438,69
497005,169
550688,151
113799,4178
498027,78
483555,35
518136,141
128803,126
533202,39
562286,2609
528460,2346
402714,78
558550,9062
507772,100
359685,19
463404,212
389021,128
379546,93
497485,94
485667,687
309263,7536
496204,140
424207,88
353752,166
270247,4977
156099,94
550967,31
409223,125
475261,30
258114,72
529846,191
518494,158
343537,3497
348204,265
524913,19
257046,95
549961,123
307804,192
517938,86
392589,22
551428,7796
243970,10
451563,35
485777,194
48918,58
505936,213
487985,668
543501,9035
561710,9139
33380,117
424181,434
562750,153
264577,128
550599,78
59958,810
496622,68
119103,71
475186,75
465461,2942
432638,21
554655,291
250512,5
561575,12356
406755,68
383980,39
514849,68
501660,133
519261,9035
311540,305
563526,24
283519,128
506987,68
562298,144
559094,34
531008,68
449017,4
486619,16
480842,125
564759,172
314146,46
456236,68
545094,6017
109202,229
343099,64
437467,100
537837,635
374426,3335
508986,2942
528377,366
196088,68
563765,17
554550,199
551059,291
478878,5258
133275,77
551341,567
561501,118
565000,5
519983,117
537785,77
553211,9037
510759,89
527362,196
360958,2098
548263,68
564558,567
532591,137
539473,10
517079,3032
555532,64
550236,254
529959,19
537232,147
558590,47
359580,222
249461,2909
406626,4
551737,64
338149,63
413474,103
366659,38
532654,23
553287,118
280052,5
74194,3258
386280,78
558517,85
541889,2018
422657,103
435929,96
543580,131
517512,38
494865,749
506211,10
214271,134
527878,95
426282,207
563380,70
559051,137
555160,645
524186,115
391289,84
493325,65
453310,144
199403,30
556512,17
450698,13
229082,77
529656,166
402586,192
537495,4992
526918,668
457714,128
467171,6863
518179,125
451694,131
558312,78
484097,111
557686,86
548359,85
164962,541
549890,137
533779,103
555363,36
133639,46
561800,356
509286,905
492200,19
557941,133
427184,34
285015,16
550264,10
526814,4383
533749,89
381713,64
535963,120
493835,4
289878,141
560385,9034
544067,16
97582,831
385690,174
517537,187
536592,3130
214520,134
402737,141
245481,6106
275434,128
292510,2440
437706,9038
551079,21
283481,8
433352,95
523772,19
526883,49
513194,106
508246,411
533851,84
554697,49
289913,338
343383,3059
380708,585
383899,7720
393337,564
411072,69
530801,2609
509677,140
447088,159
553335,130
522738,78
260236,100
538214,93
502298,47
412811,88
545793,115
440266,5
316262,65
259849,78
425200,2908
459144,104
351991,104
560876,126
171293,4223
522112,1172
426203,4945
468054,117
522969,19
499973,51
425107,58
425934,89
437263,874
126313,184
409156,47
564480,39
511368,124
520911,49
140221,17
206740,4988
451346,44
33926,8
433708,162
565263,109
520864,75
565246,271
451116,100
551079,103
201308,216
493949,59
252524,331
562301,5
455742,38
490760,13
515560,69
518234,251
545981,8
548308,138
99057,128
539633,68
474923,43
546023,77
501995,140
373540,22
483477,738
550948,88
559499,10
475015,128
541429,106
62902,264
508788,24
348219,21
295807,118
561985,68
436244,55
548202,126
427184,9035
401949,24
311538,3054
452174,1990
549672,115
490641,4798
531274,112
367082,47
117699,35
369288,77
507674,128
532978,35
257712,34
533371,89
398928,26
142498,109
549456,47
162453,69
564745,46
485416,13
486060,43
551528,9038
562208,125
218113,5
489472,74
539708,5443
549235,47
364912,34
96425,22
478598,166
336030,17
525195,29
552216,932
388093,2252
475693,17
552443,43
497354,125
426259,23
551949,128
321055,105
425875,2335
451788,174
30788,2061
560701,42
276977,256
558590,1997
523484,89
550720,149
550590,68
472085,2
547801,71
550817,130
332141,5
525789,541
520782,137
424223,7
522873,69
398928,35
547843,9034
543626,89
511023,122
435967,24
485732,31
511023,11163
373836,265
553624,19
319364,216
425849,169
518026,192
472359,23
536823,515
272296,65
465902,6750
525365,33
537487,36
451484,392
360930,2123
511291,76
545995,93
513335,213
398928,120
291145,136
374983,44
535739,126
541641,2623
539241,77
466565,112
457531,836
463460,2964
531309,9057
550576,4613
540676,134
310447,141
290110,65
196924,6
456878,23
483279,831
196612,33
465012,134
556614,4387
543783,1221
517794,391
398928,563
382726,128
503132,50
438120,207
532652,71
353970,668
535906,2255
433797,100
531844,85
489637,31
145884,2609
448675,47
301523,16
550451,69
562965,192
562727,86
485962,39
563023,47
536823,9035
536897,23
318078,128
33380,174
528232,599
555427,111
73604,277
251241,69
474619,199
560356,29
388382,10
561926,147
551035,85
103939,247
524754,90
564811,5
366564,209
486430,131
451762,27
41625,31
550740,24
533238,22
563446,135
548330,1345
75790,64
524677,69
511780,120
518549,250
291875,46
531008,39
455814,199
561854,109
286979,141
292587,294
523192,482
321961,163
547983,69
182630,367
14979,34
478405,1694
67224,3013
205200,202
435157,1948
228088,927
564558,29
451719,226
557607,85
553514,405
97552,448
325317,111
561079,75
562541,31
435228,194
488771,2098
523352,159
233000,216
561160,4938
249924,294
518658,78
363926,187
517840,119
483351,30
518229,9682
407303,12
420734,68
541641,29
192085,214
564733,234
468179,10
125789,122
512465,305
521989,216
560997,140
537998,72
549421,77
82826,241
557047,4908
523602,31
443278,19
217710,541
512840,24
503360,9242
396709,118
391126,5
550914,64
537837,216
417282,555
384485,27
490408,117
212567,64
33380,5
485900,275
547106,331
382745,298
450745,83
373254,1438
552097,548
16106,89
504045,220
193317,31
509169,47
143021,89
488681,84
560890,229
337516,69
565010,137
180277,33
516920,128
320068,34
543581,106
491701,76
458140,174
540234,874
527566,16
550371,117
89492,238
561968,221
179405,411
564305,102
549885,78
441213,111
563297,68
529846,2305
219237,172
523780,131
312698,3189
521544,93
492490,83
348462,71
293703,109
283519,390
508475,2215
253923,220
382580,93
518462,23
481368,5
499410,39
564558,52
208197,34
266072,39
448807,19
485861,109
517676,4821
493972,22
199403,16
555292,64
558497,24
518268,125
70935,162
296440,47
353411,117
547544,6
445567,31
410503,604
435733,333
523524,106
512209,5
559863,541
286130,125
397088,272
523064,172
480055,117
307895,102
471049,19
465414,3685
527631,192
519258,106
307147,76
456810,5289
486265,5
202634,71
216914,95
334663,541
551341,21
550675,68
534986,3900
125664,4212
473694,192
361065,69
89627,67
560575,5
263577,6
483330,47
555514,6636
413651,5
521242,55
531302,5470
561562,39
457811,10
468851,10
226628,44
541913,153
477502,86
549259,138
517835,117
211338,192
508479,174
425934,434
336794,78
482838,190
563662,75
527650,528
335702,2103
343421,164
38134,68
13375,47
95699,94
209137,27
514003,112
555235,47
239560,434
340015,400
555822,5
62860,50
437476,94
410042,103
321011,8
544833,94
283430,74
480652,10
505745,12
294913,24
494074,234
400658,100
402458,46
553748,187
439054,5
511485,144
555714,19
501145,283
513776,117
542403,186
543493,111
561904,71
489538,1438
445173,64
559256,77
359365,131
343290,30
1961,236
537837,558
564558,376
557596,69
511008,11162
548098,391
503795,10
214138,46
516879,128
338471,67
541975,3843
398928,3840
184289,40
560763,64
311638,108
10822,96
456625,46
297790,29
532652,1335
210179,65
526230,5269
226241,836
288352,523
518517,579
258673,222
526814,131
480369,166
490245,1301
559900,169
352589,3072
478348,118
43785,2309
443242,74
275915,791
538637,29
542646,1707
536664,64
359767,111
342952,3571
331779,128
517345,62
458852,24
186858,47
544751,38
545808,137
381968,60
562856,79
462241,1397
12270,691
551487,3288
548259,69
424402,27
355519,874
383005,102
527836,89
15567,74
555277,49
497001,9418
511108,1970
