pi_id,pi_name
97585,Rogers Davis
97596,Stephen Leatherman
97597,Subbarao Wunnava
97604,George Chrisman
97606,David Dougherty
97607,Stephen Cavrak
97608,Charles Colbourn
97610,Harry Klingensmith
97614,Raymond Neff
97630,Bassem Alhalabi
97705,Sourav Bhattacharya
97716,Marcel-Catalin Rosu
97831,John Eveland
97832,Stephanie Cammarata
98002,Bruce Erickson
98087,Clinton Groth
98088,Darren De Zeeuw
98239,Fred Annexstein
98243,Alexis Maciel
98334,Jeffrey Coleman
98336,Michael Orchard
98338,Laurene Fausett
98543,Min-You Wu
98693,Robert Tranquillo
98968,Neeraj Suri
99015,Robert Sturges
99057,Nicholas Bambos
99445,Mary Mills
99474,Vicki Helgeson
99505,George Luger
99530,Ida Stockman
99531,Juyang Weng
99599,Steven VanderWiel
99877,Dennis Volpano
99886,John Hannan
99950,Kuo-Chung Tai
99967,Carol Smidts
100028,Peter Jenkins
100097,Joseph Shinnerl
100136,Bapiraju Vinnakota
100253,Philip Koopman
100445,Imrich Chlamtac
100551,Kwei-jay Lin
100779,Paul Hurst
100808,Jacek Turski
100900,Timothy Chan
100902,Leo Bachmair
100908,Robert Rich
100910,S. Lennart Johnsson
100912,Yuri Kuznetsov
101335,Gregory Uehara
101899,Takis Konstantopoulos
101955,Joseph O'Sullivan
102639,David Cheng
102770,Ralph DiCaprio
102904,Lynn Hlatky
103256,Kevin Karplus
103618,Robert Harmon
103620,David Raffo
103660,Michael Seadle
103736,Nathaniel Borenstein
103805,Susan Calcari
103818,Delmar Johnson
103841,George Bissinger
103845,David Balch
103867,Don Ethridge
103939,Ronald Morford
104076,Qiyuan Ma
104104,Arthur Goshtasby
104318,Earnest Sherrod
104320,Sara Stoecklin
104340,Robert Fox
104342,Rick Steinheiser
104791,George Mobus
104937,David Rosenthal
104939,Victoria Reich
104942,Priti Shah
104958,Rajiv Kishore
105002,Eugene Freuder
105204,Ronald Levin
105383,Stellan Ohlsson
105494,Anitash Barua
105560,Chris Demchak
105639,Arunabha Sen
105668,Sandor Boyson
105669,Vallabhajosyu Sambamurthy
105956,Yuan-Fang Wang
106147,Casey Lide
106154,Timour Paltashev
106155,Konstantine Iourcha
106370,Takeshi Utsumi
106595,Holly Crawford
106596,Gary Wittlich
106597,Eric Isaacson
106598,James Fern
106601,Suzanne Thorin
106603,Kenneth Crews
106604,Andrew Dillon
106605,Blaise Cronin
106646,Elaine Albright
107078,Anne Marie Kelly
107865,Stephen Pizer
107868,Haifang Li
108012,Richard Grow
108023,Kim Boyer
108188,Donald Jenkins
108227,Mary Tiles
108228,Roger Ames
108288,Judson French
108468,Lionel Ni
108497,Kannappan Palaniappan
108530,Shakil Akhtar
109094,Jeffrey Huskamp
109202,William Wulf
109205,Nicholas Belkin
109362,Nina Taft-Plotkin
109514,Charles Sheaffer
109588,Thomas Robertazzi
